month,year,radio,mobile,total,percentage
Jun,2017,AM1010 Onda Latina,8232,12375,66.52
Jun,2017,AMPM FM,1317,2289,57.54
Jun,2017,Ahijuna,3108,4917,63.21
Jun,2017,Aire de Santa Fe,3,3,100.00
Jun,2017,Alas,849,1218,69.70
Jun,2017,Amadeus Cultura Musical,21,57,36.84
Jun,2017,America,165,252,65.48
Jun,2017,Amistad,27,57,47.37
Jun,2017,Antena Libre,948,1998,47.45
Jun,2017,Aspen,57,96,59.38
Jun,2017,Atilra,624,933,66.88
Jun,2017,Azul,4470,10365,43.13
Jun,2017,Belgrano,732,1362,53.74
Jun,2017,Belgrano AM 950,8004,16422,48.74
Jun,2017,BitBox FM,126,282,44.68
Jun,2017,Blue,11286,24696,45.70
Jun,2017,Boedo,102,195,52.31
Jun,2017,Candela Pura,45,57,78.95
Jun,2017,Capital,45,90,50.00
Jun,2017,Cielo,4791,6303,76.01
Jun,2017,Citrica,2223,4173,53.27
Jun,2017,Classique,1968,4575,43.02
Jun,2017,Colmena,60,90,66.67
Jun,2017,Con Vos,175830,332076,52.95
Jun,2017,Concepto,11832,21939,53.93
Jun,2017,Conexión Abierta,2787,4407,63.24
Jun,2017,Continental,11547,19332,59.73
Jun,2017,Continental (Córdoba),291,429,67.83
Jun,2017,Cooperativa,13797,25554,53.99
Jun,2017,Cristal Classic,6,6,100.00
Jun,2017,Cristal FM,333,762,43.70
Jun,2017,Cultura,12945,26211,49.39
Jun,2017,De la Azotea,315,513,61.40
Jun,2017,Del Mar,336,687,48.91
Jun,2017,Del Plata,133323,326121,40.88
Jun,2017,Del Sol,11286,24006,47.01
Jun,2017,Delta,1527,2742,55.69
Jun,2017,Deportiva,5619,9897,56.77
Jun,2017,Diez,45,84,53.57
Jun,2017,Disney,492,915,53.77
Jun,2017,ESPN,576,858,67.13
Jun,2017,Ecomedios,435,759,57.31
Jun,2017,El Desconcierto,75,129,58.14
Jun,2017,El Espectador (Uruguay),4269,9864,43.28
Jun,2017,El Mediador,2262,4272,52.95
Jun,2017,El Mundo,9285,16839,55.14
Jun,2017,El Pueblo,219,351,62.39
Jun,2017,Emisora del Sur,852,1290,66.05
Jun,2017,Encuentro (Viedma),36,114,31.58
Jun,2017,Enlazador,36,72,50.00
Jun,2017,Equilibrio.Net,120,144,83.33
Jun,2017,Estación K2,198,222,89.19
Jun,2017,Estación Sur,429,762,56.30
Jun,2017,Eterogenia,93,159,58.49
Jun,2017,FM Blue,219,300,73.00
Jun,2017,FM Chalet - Radio Comunitaria,1308,2655,49.27
Jun,2017,FM DEL CARMEN,342,417,82.01
Jun,2017,FM En Tránsito,954,1719,55.50
Jun,2017,FM Flores,153,297,51.52
Jun,2017,FM Fribuay,990,1905,51.97
Jun,2017,FM IMPACTO,90,147,61.22
Jun,2017,FM KAOS,1281,1710,74.91
Jun,2017,FM LA CIMA,555,873,63.57
Jun,2017,FM LATINA,84,111,75.68
Jun,2017,FM La Barriada,24,57,42.11
Jun,2017,FM La Patriada,24831,51867,47.87
Jun,2017,FM La Tecno,2883,5073,56.83
Jun,2017,FM La Tribu,5655,10887,51.94
Jun,2017,FM La Uni 91.7,3273,6363,51.44
Jun,2017,FM Latina,6123,11217,54.59
Jun,2017,FM Raíces Rock,1224,2526,48.46
Jun,2017,FM Riachuelo,909,1335,68.09
Jun,2017,FM Riel,327,375,87.20
Jun,2017,FM Rock & Pop,8694,14100,61.66
Jun,2017,FM Secla 104.7,3468,5316,65.24
Jun,2017,FM Soldados,561,774,72.48
Jun,2017,FM UTN Mendoza 94.5,681,1209,56.33
Jun,2017,FM de la Montaña,27972,37278,75.04
Jun,2017,Fiesta,159,309,51.46
